Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-16,Security and Privacy Attributes,CCI-003699,Defines privacy attribute values associated with organization-defined types of privacy attributes for information in storage.,,,,,
AC-16,Security and Privacy Attributes,CCI-003700,Defines privacy attribute values associated with organization-defined types of privacy attributes for information in process.,,,,,
AC-16,Security and Privacy Attributes,CCI-003701,Defines privacy attribute values associated with organization-defined types of privacy attributes for information in transmission.,,,,,
AC-16,Security and Privacy Attributes,CCI-003702,Ensure that the privacy attribute associations are made with the information.,,,,,
AC-16,Security and Privacy Attributes,CCI-003703,Ensure that the privacy attribute associations are restrained with the information.,,,,,
AC-16,Security and Privacy Attributes,CCI-003704,Establish the following permitted organization-defined privacy attributes defined in AC-16a for organization-defined systems.,,,,,
AC-16,Security and Privacy Attributes,CCI-003705,Defines the privacy attributes that are permitted for organization-defined systems.,,,,,
AC-16,Security and Privacy Attributes,CCI-003706,Defines the attribute values or ranges permitted for each of the established privacy attributes.,,,,,
AC-16,Security and Privacy Attributes,CCI-003707,Audit changes to the attributes.,,,,,
AC-16,Security and Privacy Attributes,CCI-003708,Review organization-defined security attributes for applicability on an organization-defined frequency.,,,,,
AC-16,Security and Privacy Attributes,CCI-003709,Review organization-defined privacy attributes for applicability on an organization-defined frequency.,,,,,
AC-16,Security and Privacy Attributes,CCI-003710,Defines the security and privacy attributes to be reviewed for applicability.,,,,,
AC-16,Security and Privacy Attributes,CCI-003711,Defines the frequency of which the security and privacy attributes will be reviewed.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-001424,Dynamically associate security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-002272,Dynamically associate security attributes with organization-defined objects in accordance with organization-defined security policies as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-002273,Defines the security policies to adhere to when dynamically associating security attributes with organization-defined subjects and objects.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-002274,Defines the subjects with which the system is to dynamically associate security attributes as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-002275,Defines the objects with which the system is to dynamically associate security attributes as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-003712,Dynamically associate privacy attributes with organization-defined subjects in accordance with organization-defined privacy policies as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-003713,Dynamically associate privacy attributes with organization-defined objects in accordance with organization-defined privacy policies as information is created and combined.,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,CCI-003714,Defines the privacy policies to adhere to when dynamically associating security attributes with organization-defined subjects and objects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-002306,Provide authorized individuals the capability to define or change the type of security attributes available for association with subjects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-002307,Provide authorized individuals the capability to define or change the value of security attributes available for association with subjects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-002308,Provide authorized individuals the capability to define or change the type of security attributes available for association with objects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-002309,Provide authorized individuals the capability to define or change the value of security attributes available for association with objects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-003743,Provide authorized individuals the capability to define or change the type of privacy attributes available for association with subjects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-003744,Provide authorized individuals the capability to define or change the value of privacy attributes available for association with subjects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-003745,Provide authorized individuals the capability to define or change the type of privacy attributes available for association with objects.,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,CCI-003746,Provide authorized individuals the capability to define or change the value of privacy attributes available for association with objects.,,,,,
AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,CCI-001425,Provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,,,,,
AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,CCI-002277,Provides authorized individuals (or processes acting on behalf of individuals) the capability to define the value of associated security attributes.,,,,,
AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,CCI-003715,Provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated privacy attributes.,,,,,
AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,CCI-003716,Provides authorized individuals (or processes acting on behalf of individuals) the capability to define the value of associated privacy attributes.,,,,,
